data_year,gp_code,gp_name,gp_score,institution_id,institution_acr,author_name,phd_year,regime_trabalho,carga_horaria,lattes_cv_link,author_id,productivity_grant,productivity_grant_type,phd_institution_id,phd_institution_name,phd_gp_code,phd_supervisor_id,phd_supervisor_name
2022,42005019016P8,CC,7,I45643870,PUC/RS,TIAGO COELHO FERRETO,2010,Integral,40,http://lattes.cnpq.br/8685431534934812,A5009859711,1.0,DT2,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5071130875,César Augusto Fonticielha De Rose
2022,42005019016P8,CC,7,I45643870,PUC/RS,SORAIA RAUPP MUSSE,2000,Integral,40,http://lattes.cnpq.br/2302314954133011,A5059434669,1.0,PQ1C,I5124864,École polytechnique fédérale de Lausanne,,A5005709068,Dr Daniel Thalmann
2022,42005019016P8,CC,7,I45643870,PUC/RS,SABRINA DOS SANTOS MARCZAK,2011,Integral,40,http://lattes.cnpq.br/9458496222461501,A5014651524,1.0,PQ2,I212119943,University of Victoria,,A5007049054,Daniela Damian
2022,42005019016P8,CC,7,I45643870,PUC/RS,RODRIGO COELHO BARROS,2013,Integral,20,http://lattes.cnpq.br/8172124241767828,A5039629929,1.0,PQ2,I17974374,Universidade de São Paulo,33002045004P1,A5079499583,André Carlos Ponce de Leon Ferreira de Carvalho
2022,42005019016P8,CC,7,I45643870,PUC/RS,RAFAEL PRIKLADNICKI,2009,Integral,40,http://lattes.cnpq.br/2007065934836962,A5024645888,1.0,PQ1D,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5022404709,Jorge Luis Nicolas Audy
2022,42005019016P8,CC,7,I45643870,PUC/RS,RAFAEL HEITOR BORDINI,1998,Integral,40,http://lattes.cnpq.br/4589262718627942,A5037986871,1.0,PQ2,I45129253,University College London (University of London),,,John Anthony Campbell
2022,42005019016P8,CC,7,I45643870,PUC/RS,NEY LAERT VILAR CALAZANS,1993,Dedicação Exclusiva,40,http://lattes.cnpq.br/3309342336039521,A5072149252,1.0,PQ1D,I95674353,Université catholique de Louvain,,A5083236596,Marc Davio (in Memoriam) / Anne Marie Anckaert Trullemans
2022,42005019016P8,CC,7,I45643870,PUC/RS,MILENE SELBACH SILVEIRA,2002,Dedicação Exclusiva,40,http://lattes.cnpq.br/0483707899231728,A5039610148,0.0,,I45643870,Pontifícia Universidade Católica do Rio Grande do Sul,31005012004P9,A5034425412,Clarisse Sieckenius de Souza
2022,42005019016P8,CC,7,I45643870,PUC/RS,MARCIO SARROGLIA PINHO,2002,Dedicação Exclusiva,40,http://lattes.cnpq.br/9183721973235194,A5079270282,0.0,,I130442723,Universidade Federal do Rio Grande do Sul,42001013004P4,A5074265846,Carla Maria Dal Sasso Freitas
2022,42005019016P8,CC,7,I45643870,PUC/RS,LUIZ GUSTAVO LEAO FERNANDES,2001,Integral,40,http://lattes.cnpq.br/5979862734558983,A5076792297,1.0,PQ2,I106785703,Institut National Polytechnique de Grenoble,,A5079734350,Brigitte Plateau e Yves Denneulin
